SEGID,BMP,EMP,DISTANCE,FULLNAME,FNCLASS,FC_CODE,FC_GROUP,FC_NAME,CO_FIPS,CO_NAME,PLANAREA,X,Y,ONLRS,T_MODEL,USE,RT_NUM,AADT2019,AADT2018,AADT2017,AADT2016,AADT2015,AADT2014,AADT2013,AADT2012,AADT2011,AADT2010,AADT2009,AADT2008,AADT2007,AADT2006,AADT2005,AADT2004,AADT2003,AADT2002,AADT2001,AADT2000,AADT1999,AADT1998,AADT1997,AADT1996,AADT1994,AADT1993,AADT1992,AADT1991,AADT1990,AADT1989,AADT1988,AADT1987,AADT1986,AADT1985,AADT1984,AADT1983,AADT1982,AADT1981,FACGEO,CCSGROUP19,FAC_MON,FAC_TUE,FAC_WED,FAC_THU,FAC_FRI,FAC_SAT,FAC_SUN,FAC_WDAVG,FAC_WEAVG,FAC_WEMAX,FAC_JAN,FAC_FEB,FAC_MAR,FAC_APR,FAC_MAY,FAC_JUN,FAC_JUL,FAC_AUG,FAC_SEP,FAC_OCT,FAC_NOV,FAC_DEC,FAC_WIN,FAC_SPR,FAC_SUM,FAC_FAL,FAC_MAXMO,FAC_MAX,FACMANADJ,SUTRUCKS,CUTRUCKS
0006_000.0,0.0,0.665,0.666640610171,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,236709.44,4327470.485,Yes,Yes,0,6,415,412,409,399,375,350,330,325,330,340,355,345,285,440,430,535,315,320,310,430,430,385,365,350,505,465,445,425,420,400,0,595,585,585,580,430,335,325,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.2496,0.2324
0006_000.7,0.665,16.022,15.3698391098,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,249503.4263,4325788.5195,Yes,Yes,0,6,415,412,409,399,375,350,330,325,330,340,355,345,285,440,430,535,315,320,310,430,430,385,365,350,505,465,445,425,420,400,0,595,585,585,580,430,335,325,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.2496,0.2324
0006_016.0,16.022,46.017,30.0019607708,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,284300.7609,4328907.2231,Yes,Yes,0,6,415,412,409,399,375,350,330,325,330,340,355,345,285,440,430,535,315,320,310,430,430,385,365,350,505,465,445,425,420,400,0,595,585,585,580,430,335,325,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.2496,0.2324
0006_046.0,46.017,60.218,14.1943061462,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,315328.4442,4331291.6395,Yes,Yes,0,6,372,369,366,412,390,360,340,340,340,355,355,345,285,440,430,535,315,320,310,430,430,385,365,350,505,465,445,425,420,400,0,595,585,585,580,430,335,325,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.1751,0.3338
0006_060.2,60.218,77.545,17.323237215,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,335955.6793,4346046.3962,Yes,Yes,0,6,372,369,366,412,390,360,340,340,340,355,355,345,285,440,430,535,315,320,310,430,430,385,365,350,505,465,445,425,420,400,0,595,585,585,580,430,335,325,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.1751,0.3338
0006_077.5,77.545,82.885,5.34076941043,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,351677.0282,4354815.5789,Yes,Yes,0,6,533,529,525,512,480,450,420,420,525,545,550,345,285,550,540,535,315,320,510,680,680,635,600,575,550,505,485,465,460,440,0,800,790,790,780,630,535,520,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.1625,0.2647
0006_082.9,82.885,83.897,1.01420677621,500 N,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,356780.6155,4354796.6448,Yes,Yes,0,6,1991,1975,1961,1913,1800,1675,1575,1570,1575,1625,1645,1580,1670,1600,1915,770,785,3015,2945,3465,3470,3385,3255,3125,2305,2125,1950,1930,1840,1540,1530,1525,1600,1675,1650,1450,1350,0,Statewide,COP,0.9506,0.9629,0.9773,1.012,1.1505,1.065,0.8818,0.984,0.9734,1.065,0.816,0.8504,0.9396,1.0367,1.1065,1.1047,1.0797,1.0898,1.0749,1.0685,0.9512,0.8822,0.8495,1.0276,1.0914,1.0315,5,1.1065,0,0.1499,0.1956
0006_083.9,83.897,85.947,2.04477057861,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,359241.2252,4354733.5795,Yes,Yes,0,6,3573,3496,3468,3846,3660,3495,3340,3270,3240,2295,2275,2240,2335,2275,2215,1385,1330,4635,4460,5024,5075,4900,4680,4495,4130,3835,3600,3570,2970,2670,2795,2790,2920,3050,3000,2750,2650,0,Statewide,COQ,0.9174,0.9262,0.955,1.0027,1.1774,1.1031,0.9183,0.9613,1.0107,1.1031,0.7918,0.8363,0.9322,0.9762,1.0492,1.1702,1.2035,1.1428,1.0583,1.0398,0.9146,0.8853,0.8378,0.9858,1.1722,1.0042,7,1.2035,0,0.1373,0.1265
0006_085.9,85.947,87.687,1.73794096083,HWY 6,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,361744.9488,4355795.0995,Yes,Yes,0,6,3573,3496,3468,3846,3660,3495,3340,3270,3240,2295,2275,2240,2335,2275,2215,1385,1330,4635,4460,5024,5075,4900,4680,4495,4130,3835,3600,3570,2970,2670,2795,2790,2920,3050,3000,2750,2650,0,Statewide,COQ,0.9174,0.9262,0.955,1.0027,1.1774,1.1031,0.9183,0.9613,1.0107,1.1031,0.7918,0.8363,0.9322,0.9762,1.0492,1.1702,1.2035,1.1428,1.0583,1.0398,0.9146,0.8853,0.8378,0.9858,1.1722,1.0042,7,1.2035,0,0.1373,0.1265
0006_087.7,87.687,88.69,1.00896484404,MAIN ST,Arterial,3,Arterial,Other Principal Arterial,27,MILLARD,UDOT,363308.1451,4357090.4747,Yes,Yes,0,6,6292,6157,6108,5913,5625,5375,5135,5025,5050,5130,5090,5015,4660,4450,2785,1955,1875,7311,7030,6954,7025,6780,6475,6220,5715,5275,4950,4950,4500,3690,0,6950,7275,7600,7500,7200,6950,6620,Statewide,COS,1.0518,1.0744,1.0878,1.1133,1.1559,0.8742,0.6426,1.0919,0.7584,0.8742,0.86,0.8982,0.967,1.0119,1.0535,1.0636,1.0367,1.0724,1.0602,1.0469,0.9896,0.94,0.8994,1.0108,1.0576,1.0322,8,1.0724,0,0.1337,0.1384
